ID;REGIAO;MUNICIPIO/BAIRRO;OPM ;RISP;AISP
1;Capital;Acupe;26ª CIPM - Brotas;Atlântico;06 - Brotas
2;Capital;Aeroporto;15ª CIPM - Itapuã;Atlântico;12 - Itapuã
3;Capital;Águas Claras;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras
4;Capital;Alto da Terezinha;18ª CIPM - Periperi;BTS;05 - Periperi
5;Capital;Alto das Pombas;41ª CIPM - Federação;Atlântico;07 - Rio Vermelho
6;Capital;Alto do Cabrito;14ª CIPM - Lobato;BTS;05 - Periperi
7;Capital;Alto do Coqueirinho;15ª CIPM - Itapuã;Atlântico;12 - Itapuã
8;Capital;Amaralina;40ª CIPM - Nordeste de Amaralina;Atlântico;15 - Nordeste de Amaralina
10;Capital;Arenoso;23ª CIPM - Tancredo Neves;Central;11 - Tancredo Neves
11;Capital;Arraial do Retiro;23ª CIPM - Tancredo Neves;Central;11 - Tancredo Neves
12;Capital;Bairro da Paz;15ª CIPM - Itapuã;Atlântico;12 - Itapuã
13;Capital;Baixa de Quintas;37ª CIPM - Liberdade;BTS;02 - Liberdade
14;Capital;Barbalho;2ª CIPM - Barbalho;BTS;01 - Barris
15;Capital;Barra;11ª CIPM - Barra;Atlântico;14 - Barra
16;Capital;Barreiras;23ª CIPM - Tancredo Neves;Central;11 - Tancredo Neves
17;Capital;Barris;18º BPM - Centro Histórico;BTS;01 - Barris
18;Capital;Beiru/Tancredo Neves;23ª CIPM - Tancredo Neves;Central;11 - Tancredo Neves
19;Capital;Boa Viagem;17ª CIPM - Uruguai;BTS;03 - Bonfim
20;Capital;Boa Vista de Brotas;26ª CIPM - Brotas;Atlântico;06 - Brotas
21;Capital;Boa Vista de São Caetano;9ª CIPM - Pirajá;BTS;04 - São Caetano
22;Capital;Boca da Mata;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras
23;Capital;Boca do Rio;39ª CIPM - Boca do Rio;Atlântico;09 - Boca do Rio
24;Capital;Bom Juá;9ª CIPM - Pirajá;BTS;04 - São Caetano
25;Capital;Bonfim;17ª CIPM - Uruguai;BTS;03 - Bonfim
26;Capital;Brotas;26ª CIPM - Brotas;Atlântico;06 - Brotas
27;Capital;Cabula;23ª CIPM - Tancredo Neves;Central;11 - Tancredo Neves
28;Capital;Cabula VI;23ª CIPM - Tancredo Neves;Central;11 - Tancredo Neves
29;Capital;Caixa D´Água;37ª CIPM - Liberdade;BTS;02 - Liberdade
30;Capital;Cajazeiras II;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras
31;Capital;Cajazeiras IV;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras
32;Capital;Cajazeiras V;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras
33;Capital;Cajazeiras VI;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras
34;Capital;Cajazeiras VII;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras
35;Capital;Cajazeiras VIII;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras
36;Capital;Cajazeiras X;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras
37;Capital;Cajazeiras XI;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras
38;Capital;Calabar;41ª CIPM - Federação;Atlântico;07 - Rio Vermelho
39;Capital;Calabetão;48ª CIPM - Sussuarana;Central;11 - Tancredo Neves
40;Capital;Calçada;16ª CIPM - Comércio;BTS;03 - Bonfim
41;Capital;Caminho das Árvores;35ª CIPM - Iguatemi;Atlântico;16 - Pituba
42;Capital;Caminho de Areia;17ª CIPM - Uruguai;BTS;03 - Bonfim
43;Capital;Campinas de Pirajá;9ª CIPM - Pirajá;BTS;04 - São Caetano
44;Capital;Canabrava;50ª CIPM - Sete de Abril;Central;10 - Pau da Lima
45;Capital;Candeal;26ª CIPM - Brotas;Atlântico;06 - Brotas
46;Capital;Canela;18º BPM - Centro Histórico;BTS;01 - Barris
47;Capital;Capelinha;9ª CIPM - Pirajá;BTS;04 - São Caetano
48;Capital;Cassange;49ª CIPM - São Cristóvão;Atlântico;12 - Itapuã
49;Capital;Castelo Branco;47ª CIPM - Pau da Lima;Central;10 - Pau da Lima
50;Capital;Centro;18º BPM - Centro Histórico;BTS;01 - Barris
51;Capital;Centro Administrativo da Bahia;82ª CIPM - CAB;Central;11 - Tancredo Neves
52;Capital;Centro Histórico;18º BPM - Centro Histórico;BTS;01 - Barris
53;Capital;Chapada do Rio Vermelho;40ª CIPM - Nordeste de Amaralina;Atlântico;15 - Nordeste de Amaralina
54;Capital;Cidade Nova;37ª CIPM - Liberdade;BTS;02 - Liberdade
55;Capital;Comércio;16ª CIPM - Comércio;BTS;03 - Bonfim
56;Capital;Cosme de Farias;58ª CIPM - Cosme de Farias;Atlântico;06 - Brotas
57;Capital;Costa Azul;39ª CIPM - Boca do Rio;Atlântico;09 - Boca do Rio
58;Capital;Coutos;18ª CIPM - Periperi;BTS;05 - Periperi
59;Capital;Curuzu;37ª CIPM - Liberdade;BTS;02 - Liberdade
60;Capital;Dom Avelar;47ª CIPM - Pau da Lima;Central;10 - Pau da Lima
61;Capital;Doron;23ª CIPM - Tancredo Neves;Central;11 - Tancredo Neves
62;Capital;Engenho Velho da Federação;41ª CIPM - Federação;Atlântico;07 - Rio Vermelho
63;Capital;Engenho Velho de Brotas;26ª CIPM - Brotas;Atlântico;06 - Brotas
64;Capital;Engomadeira;23ª CIPM - Tancredo Neves;Central;11 - Tancredo Neves
65;Capital;Fazenda Coutos;19ª CIPM - Paripe;BTS;05 - Periperi
66;Capital;Fazenda Grande do Retiro;9ª CIPM - Pirajá;BTS;04 - São Caetano
67;Capital;Fazenda Grande I;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras
68;Capital;Fazenda Grande II;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras
69;Capital;Fazenda Grande III;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras
70;Capital;Fazenda Grande IV;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras
71;Capital;Federação;41ª CIPM - Federação;Atlântico;07 - Rio Vermelho
72;Capital;Garcia;18º BPM - Centro Histórico;BTS;01 - Barris
73;Capital;Graça;11ª CIPM - Barra;Atlântico;14 - Barra
74;Capital;Granjas Rurais Presidente Vargas;48ª CIPM - Sussuarana;Central;11 - Tancredo Neves
75;Capital;IAPI;37ª CIPM - Liberdade;BTS;02 - Liberdade
77;Capital;Ilha de Maré;19ª CIPM - Paripe;BTS;05 - Periperi
79;Capital;Imbuí;39ª CIPM - Boca do Rio;Atlântico;09 - Boca do Rio
80;Capital;Itacaranha;14ª CIPM - Lobato;BTS;05 - Periperi
81;Capital;Itaigara;35ª CIPM - Iguatemi;Atlântico;16 - Pituba
